model,mode,probe,image_id,level,n_persons_gt,rep,n_input,n_generated,n_think_tokens,n_answer_tokens,latency_ms,tokens_per_second,budget_hit,think_closed,termination_class,parsed_answer,parse_status,correct
qwen3vl4b,instruct,main,578489,L3,7,0,348,2,0,2,342.4,5.8,False,False,complete,8,ok,False
qwen3vl4b,instruct,main,114049,L3,6,2,348,2,0,2,91.9,21.8,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,6771,L4,8,0,348,2,0,2,93.1,21.5,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,330396,L3,5,2,348,2,0,2,92.7,21.6,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,477441,L2,3,1,348,2,0,2,92.6,21.6,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,562207,L2,3,2,348,2,0,2,92.5,21.6,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,480985,L4,8,0,348,2,0,2,93.0,21.5,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,246883,L2,2,1,348,2,0,2,93.1,21.5,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,390826,L1,1,2,348,2,0,2,92.8,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,201426,L2,2,0,348,2,0,2,93.2,21.4,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,480985,L4,8,2,348,2,0,2,92.9,21.5,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,1761,L3,5,2,348,2,0,2,92.9,21.5,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,361147,L4,9,2,348,2,0,2,92.8,21.6,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,55167,L3,6,1,348,2,0,2,93.0,21.5,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,83172,L2,3,1,348,2,0,2,93.0,21.5,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,2006,L2,3,0,348,2,0,2,92.6,21.6,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,470924,L4,14,1,348,2,0,2,92.7,21.6,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,394199,L1,1,0,348,2,0,2,93.2,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,32334,L3,5,2,348,2,0,2,92.7,21.6,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,89648,L4,11,0,348,3,0,3,111.8,26.8,False,False,complete,12,ok,False
qwen3vl4b,instruct,main,527528,L2,2,1,348,2,0,2,92.3,21.7,False,False,complete,0,ok,False
