family,N,R1_bytes,R2a_bytes,R2b_bytes,R3_bytes,R4_bytes,R5_bytes,R6_bytes_ANALYTICAL,R7_bytes,R1_ser_ms,R2a_ser_ms,R2b_ser_ms,R3_ser_ms,R4_ser_ms,R5_ser_ms,R7_summary_preview
LOW,1,419229,53368,30545,53368,3764380,2868380,22937600,110,90.57,0.71,0.5,0.53,1.04,1.16,"The image shows a person with severe facial injuries, including cuts and bleeding, lying on a medical surface."
LOW,3,1386521,177793,100369,177793,11290780,8602780,68812800,176,249.53,1.95,1.49,1.66,5.55,2.88,"The updated session summary is: The image now depicts a person skateboarding on a wooden ramp outdoors, wearing Vans sho"
LOW,6,2750018,364103,205439,186310,22580380,17204380,137625600,300,445.75,3.82,3.12,1.67,5.21,6.6,"The updated session summary is: The image shows an elephant adorned with colorful decorations and a rider on its back, s"
LOW,12,6014697,799006,447652,242854,45159580,34407580,275251200,300,837.46,7.83,6.63,1.87,21.51,26.78,The image shows a person taking a mirror selfie in a vintage-style bathroom with green and white tiled walls and a sink.
LOW,24,12353155,1666229,932046,255073,90317980,68813980,550502400,199,1640.88,15.77,13.28,1.92,40.88,51.91,"The updated session summary includes: The image now shows a person outdoors on a sunny day, holding a cylindrical object"
LOW,48,25187452,3492504,1957612,209875,180634780,137626780,1101004800,300,3131.71,32.66,27.17,1.86,81.14,101.49,"The updated session summary now includes a scene of three people standing near a river with an elephant, enjoying a natu"
HIGH,1,744094,136194,80316,136194,3764380,2868380,22937600,90,32.23,0.95,0.68,0.79,0.99,1.14,"A football player catches the ball during a game, with other players and a referee nearby."
HIGH,3,1846954,292465,170451,292465,11290780,8602780,68812800,260,164.54,2.23,1.72,2.0,5.19,2.87,"The updated session summary now includes a group of people standing on a tennis court, engaged in conversation and holdi"
HIGH,6,3417470,517514,300104,225049,22580380,17204380,137625600,267,344.47,4.38,3.54,1.86,5.45,7.92,"The session summary now includes a young boy playing tennis on a court, with a yellow ball in motion towards him, while "
HIGH,12,7078087,1059853,606448,291883,45159580,34407580,275251200,300,659.89,8.41,6.99,2.03,21.06,26.36,"The session summary now includes a group of people, including elephants, wading through a body of water, with individual"
HIGH,24,13459739,1965669,1118693,208669,90317980,68813980,550502400,278,1399.63,16.89,14.11,1.86,41.69,51.37,"The session summary now includes a scene of a group of people playing ultimate frisbee on a grassy field, with a stone b"
HIGH,48,26163138,3842912,2188204,233886,180634780,137626780,1101004800,300,2846.97,33.88,27.79,1.95,80.25,100.91,"The session summary now includes a serene beach scene with kites flying over the sand, capturing a moment of leisure and"
