model,mode,image_id,level,n_persons_gt,rep,n_input,n_generated,n_think_tokens,n_answer_tokens,latency_ms,budget_hit,parsed_answer,parse_status,correct
qwen3vl4b,instruct,511647,L1,1,1,348,2,0,2,350.4,False,1,ok,True
qwen3vl4b,instruct,477805,L2,2,0,348,2,0,2,93.2,False,1,ok,False
qwen3vl4b,instruct,132544,L4,10,1,348,2,0,2,93.0,False,7,ok,False
qwen3vl4b,instruct,566923,L4,10,0,348,3,0,3,113.1,False,10,ok,True
qwen3vl4b,instruct,2006,L2,3,2,348,2,0,2,93.0,False,2,ok,False
qwen3vl4b,instruct,366884,L1,1,2,348,2,0,2,93.1,False,1,ok,True
qwen3vl4b,instruct,173799,L2,2,2,348,2,0,2,93.3,False,2,ok,True
qwen3vl4b,instruct,477805,L2,2,1,348,2,0,2,93.4,False,1,ok,False
qwen3vl4b,instruct,36936,L2,2,1,348,2,0,2,95.7,False,2,ok,True
qwen3vl4b,instruct,36936,L2,2,2,348,2,0,2,93.6,False,2,ok,True
qwen3vl4b,instruct,330396,L3,5,1,348,2,0,2,93.0,False,4,ok,False
qwen3vl4b,instruct,224664,L4,8,2,348,2,0,2,93.8,False,2,ok,False
qwen3vl4b,instruct,480985,L4,8,1,348,2,0,2,95.7,False,3,ok,False
qwen3vl4b,instruct,402774,L1,1,2,348,2,0,2,92.9,False,1,ok,True
qwen3vl4b,instruct,442456,L2,2,2,348,2,0,2,93.2,False,2,ok,True
qwen3vl4b,instruct,1761,L3,5,2,348,2,0,2,93.6,False,0,ok,False
qwen3vl4b,instruct,18150,L2,2,1,348,2,0,2,94.3,False,2,ok,True
qwen3vl4b,instruct,130699,L3,7,2,348,2,0,2,93.1,False,6,ok,False
qwen3vl4b,instruct,357816,L3,4,0,348,2,0,2,93.2,False,5,ok,False
qwen3vl4b,instruct,366884,L1,1,1,348,2,0,2,93.7,False,1,ok,True
qwen3vl4b,instruct,303863,L3,7,2,348,2,0,2,93.2,False,3,ok,False
qwen3vl4b,instruct,122672,L1,1,2,348,2,0,2,93.0,False,1,ok,True
qwen3vl4b,instruct,188296,L3,7,2,348,2,0,2,93.2,False,8,ok,False
qwen3vl4b,instruct,295420,L1,1,0,348,2,0,2,93.1,False,1,ok,True
qwen3vl4b,instruct,89648,L4,11,2,348,3,0,3,112.8,False,12,ok,False
qwen3vl4b,instruct,157756,L4,10,0,348,2,0,2,92.7,False,4,ok,False
qwen3vl4b,instruct,208363,L4,14,0,348,3,0,3,113.7,False,15,ok,False
qwen3vl4b,instruct,170613,L2,2,2,348,2,0,2,93.0,False,2,ok,True
qwen3vl4b,instruct,265816,L1,1,2,348,2,0,2,93.2,False,1,ok,True
qwen3vl4b,instruct,96493,L1,1,0,348,2,0,2,93.1,False,1,ok,True
qwen3vl4b,instruct,327701,L3,4,2,348,2,0,2,93.5,False,3,ok,False
qwen3vl4b,instruct,6771,L4,8,0,348,2,0,2,93.2,False,7,ok,False
qwen3vl4b,instruct,416451,L2,2,2,348,2,0,2,93.7,False,3,ok,False
qwen3vl4b,instruct,416451,L2,2,0,348,2,0,2,92.7,False,3,ok,False
qwen3vl4b,instruct,70739,L2,3,1,348,2,0,2,93.2,False,3,ok,True
qwen3vl4b,instruct,578489,L3,7,0,348,2,0,2,93.2,False,8,ok,False
qwen3vl4b,instruct,36539,L2,2,0,348,2,0,2,93.4,False,2,ok,True
qwen3vl4b,instruct,165681,L4,12,0,348,2,0,2,93.6,False,3,ok,False
qwen3vl4b,instruct,246883,L2,2,1,348,2,0,2,93.2,False,2,ok,True
qwen3vl4b,instruct,130699,L3,7,1,348,2,0,2,92.9,False,6,ok,False
qwen3vl4b,instruct,394199,L1,1,2,348,2,0,2,93.0,False,1,ok,True
qwen3vl4b,instruct,89296,L2,2,0,348,2,0,2,93.3,False,2,ok,True
qwen3vl4b,instruct,554595,L1,1,1,348,2,0,2,93.4,False,1,ok,True
qwen3vl4b,instruct,169076,L2,2,0,348,2,0,2,93.3,False,2,ok,True
qwen3vl4b,instruct,139077,L1,1,0,348,2,0,2,93.1,False,1,ok,True
qwen3vl4b,instruct,132544,L4,10,2,348,2,0,2,93.5,False,7,ok,False
qwen3vl4b,instruct,192670,L4,9,1,348,2,0,2,93.1,False,7,ok,False
qwen3vl4b,instruct,201426,L2,2,1,348,2,0,2,93.5,False,2,ok,True
qwen3vl4b,instruct,253386,L2,2,0,348,2,0,2,93.5,False,3,ok,False
qwen3vl4b,instruct,231580,L3,7,0,348,2,0,2,93.2,False,7,ok,True
qwen3vl4b,instruct,477805,L2,2,2,348,2,0,2,93.4,False,1,ok,False
qwen3vl4b,instruct,470924,L4,14,2,348,2,0,2,93.4,False,4,ok,False
qwen3vl4b,instruct,425906,L4,13,2,348,3,0,3,113.0,False,12,ok,False
qwen3vl4b,instruct,442456,L2,2,0,348,2,0,2,92.9,False,2,ok,True
qwen3vl4b,instruct,507037,L4,14,0,348,3,0,3,112.8,False,13,ok,False
qwen3vl4b,instruct,465836,L2,3,2,348,2,0,2,92.8,False,3,ok,True
qwen3vl4b,instruct,578489,L3,7,1,348,2,0,2,93.5,False,8,ok,False
qwen3vl4b,instruct,465180,L3,6,2,348,2,0,2,93.2,False,5,ok,False
qwen3vl4b,instruct,554002,L4,10,1,348,2,0,2,93.3,False,6,ok,False
qwen3vl4b,instruct,89296,L2,2,1,348,2,0,2,94.4,False,2,ok,True
qwen3vl4b,instruct,285047,L1,1,1,348,2,0,2,93.2,False,1,ok,True
qwen3vl4b,instruct,139077,L1,1,2,348,2,0,2,93.1,False,1,ok,True
qwen3vl4b,instruct,303863,L3,7,0,348,2,0,2,93.6,False,3,ok,False
qwen3vl4b,instruct,473869,L1,1,2,348,2,0,2,93.0,False,1,ok,True
qwen3vl4b,instruct,265816,L1,1,1,348,2,0,2,92.9,False,1,ok,True
qwen3vl4b,instruct,98287,L4,14,1,348,3,0,3,113.0,False,10,ok,False
qwen3vl4b,instruct,497344,L1,1,2,348,2,0,2,93.2,False,1,ok,True
qwen3vl4b,instruct,1584,L4,11,1,348,2,0,2,93.6,False,2,ok,False
qwen3vl4b,instruct,62355,L3,5,1,348,2,0,2,92.9,False,4,ok,False
qwen3vl4b,instruct,417249,L3,5,0,348,2,0,2,93.5,False,4,ok,False
qwen3vl4b,instruct,425906,L4,13,1,348,3,0,3,113.5,False,12,ok,False
qwen3vl4b,instruct,332570,L1,1,0,348,2,0,2,93.3,False,1,ok,True
qwen3vl4b,instruct,506656,L1,1,0,348,2,0,2,93.4,False,1,ok,True
qwen3vl4b,instruct,471789,L4,12,0,348,2,0,2,93.2,False,7,ok,False
qwen3vl4b,instruct,220764,L1,1,0,348,2,0,2,93.4,False,1,ok,True
qwen3vl4b,instruct,450303,L3,6,0,348,2,0,2,93.7,False,6,ok,True
qwen3vl4b,instruct,359833,L1,1,1,348,2,0,2,93.5,False,1,ok,True
qwen3vl4b,instruct,268378,L4,9,1,348,3,0,3,113.2,False,10,ok,False
qwen3vl4b,instruct,537270,L2,3,2,348,2,0,2,92.8,False,3,ok,True
qwen3vl4b,instruct,295420,L1,1,1,348,2,0,2,93.6,False,1,ok,True
qwen3vl4b,instruct,377588,L3,6,1,348,2,0,2,93.0,False,7,ok,False
qwen3vl4b,instruct,246883,L2,2,0,348,2,0,2,97.1,False,2,ok,True
qwen3vl4b,instruct,361586,L3,4,2,348,2,0,2,93.5,False,7,ok,False
qwen3vl4b,instruct,361147,L4,9,0,348,2,0,2,94.7,False,7,ok,False
qwen3vl4b,instruct,511647,L1,1,2,348,2,0,2,93.9,False,1,ok,True
qwen3vl4b,instruct,25386,L2,3,1,348,2,0,2,93.8,False,2,ok,False
qwen3vl4b,instruct,361147,L4,9,1,348,2,0,2,94.0,False,7,ok,False
qwen3vl4b,instruct,213547,L2,2,0,348,2,0,2,94.1,False,2,ok,True
qwen3vl4b,instruct,301563,L2,3,2,348,2,0,2,93.7,False,3,ok,True
qwen3vl4b,instruct,6771,L4,8,1,348,2,0,2,94.1,False,7,ok,False
qwen3vl4b,instruct,402774,L1,1,1,348,2,0,2,94.5,False,1,ok,True
qwen3vl4b,instruct,192670,L4,9,0,348,2,0,2,95.5,False,7,ok,False
qwen3vl4b,instruct,480985,L4,8,0,348,2,0,2,94.1,False,3,ok,False
qwen3vl4b,instruct,361586,L3,4,0,348,2,0,2,93.7,False,7,ok,False
qwen3vl4b,instruct,31093,L2,3,1,348,2,0,2,93.7,False,2,ok,False
qwen3vl4b,instruct,507037,L4,14,1,348,3,0,3,113.5,False,13,ok,False
qwen3vl4b,instruct,415748,L1,1,2,348,2,0,2,93.4,False,1,ok,True
qwen3vl4b,instruct,303863,L3,7,1,348,2,0,2,93.4,False,3,ok,False
qwen3vl4b,instruct,253386,L2,2,2,348,2,0,2,95.0,False,3,ok,False
qwen3vl4b,instruct,96493,L1,1,1,348,2,0,2,95.5,False,1,ok,True
qwen3vl4b,instruct,153529,L4,8,2,348,2,0,2,93.5,False,5,ok,False
qwen3vl4b,instruct,3553,L1,1,1,348,2,0,2,92.5,False,1,ok,True
qwen3vl4b,instruct,3553,L1,1,2,348,2,0,2,93.8,False,1,ok,True
qwen3vl4b,instruct,309173,L1,1,2,348,2,0,2,95.1,False,0,ok,False
qwen3vl4b,instruct,528314,L4,9,0,348,3,0,3,113.6,False,10,ok,False
qwen3vl4b,instruct,114049,L3,6,1,348,2,0,2,93.1,False,5,ok,False
qwen3vl4b,instruct,188465,L4,14,0,348,3,0,3,114.0,False,10,ok,False
qwen3vl4b,instruct,165681,L4,12,1,348,2,0,2,92.7,False,3,ok,False
qwen3vl4b,instruct,268378,L4,9,2,348,3,0,3,113.6,False,10,ok,False
qwen3vl4b,instruct,542127,L4,14,2,348,3,0,3,112.8,False,10,ok,False
qwen3vl4b,instruct,277020,L3,4,1,348,2,0,2,93.2,False,4,ok,True
qwen3vl4b,instruct,506656,L1,1,1,348,2,0,2,93.8,False,1,ok,True
qwen3vl4b,instruct,74200,L3,6,2,348,2,0,2,93.4,False,0,ok,False
qwen3vl4b,instruct,561256,L1,1,1,348,2,0,2,93.9,False,1,ok,True
qwen3vl4b,instruct,126137,L4,13,2,348,3,0,3,113.4,False,10,ok,False
qwen3vl4b,instruct,285047,L1,1,2,348,2,0,2,93.3,False,1,ok,True
qwen3vl4b,instruct,554002,L4,10,2,348,2,0,2,93.7,False,6,ok,False
qwen3vl4b,instruct,377393,L4,10,0,348,2,0,2,93.6,False,1,ok,False
qwen3vl4b,instruct,82715,L1,1,0,348,2,0,2,94.1,False,1,ok,True
qwen3vl4b,instruct,70739,L2,3,2,348,2,0,2,94.3,False,3,ok,True
qwen3vl4b,instruct,477441,L2,3,0,348,2,0,2,93.2,False,0,ok,False
qwen3vl4b,instruct,548246,L3,4,1,348,2,0,2,93.5,False,4,ok,True
qwen3vl4b,instruct,323496,L3,6,1,348,2,0,2,94.1,False,5,ok,False
qwen3vl4b,instruct,566923,L4,10,1,348,3,0,3,113.8,False,10,ok,True
qwen3vl4b,instruct,231580,L3,7,2,348,2,0,2,93.3,False,7,ok,True
qwen3vl4b,instruct,154087,L3,4,1,348,2,0,2,93.4,False,5,ok,False
qwen3vl4b,instruct,6771,L4,8,2,348,2,0,2,94.6,False,7,ok,False
qwen3vl4b,instruct,359833,L1,1,0,348,2,0,2,93.9,False,1,ok,True
qwen3vl4b,instruct,36936,L2,2,0,348,2,0,2,93.8,False,2,ok,True
qwen3vl4b,instruct,527528,L2,2,2,348,2,0,2,93.6,False,0,ok,False
qwen3vl4b,instruct,554595,L1,1,2,348,2,0,2,94.2,False,1,ok,True
qwen3vl4b,instruct,98287,L4,14,0,348,3,0,3,113.7,False,10,ok,False
qwen3vl4b,instruct,542127,L4,14,0,348,3,0,3,113.2,False,10,ok,False
qwen3vl4b,instruct,309173,L1,1,0,348,2,0,2,93.4,False,0,ok,False
