model,image_id,level,n_persons_gt,mode,rep,n_input,n_generated,latency_ms,budget_hit,parsed_answer,parse_status,correct
qwenvl7b,3553,L1,1,stepwise,1,469,106,2801.8,False,1,ok,True
qwenvl7b,6771,L4,8,stepwise,0,469,164,4277.2,False,7,ok,False
qwenvl7b,74200,L3,6,stepwise,0,469,28,828.2,False,0,ok,False
qwenvl7b,357816,L3,4,stepwise,0,469,121,3267.9,False,5,ok,False
qwenvl7b,578489,L3,7,stepwise,0,469,179,4669.8,False,6,ok,False
qwenvl7b,477805,L2,2,stepwise,1,469,47,1311.9,False,1,ok,False
qwenvl7b,330396,L3,5,stepwise,2,469,144,3776.6,False,6,ok,False
qwenvl7b,268378,L4,9,stepwise,2,469,151,3960.0,False,8,ok,False
qwenvl7b,14439,L4,14,stepwise,0,469,153,4017.2,False,5,ok,False
qwenvl7b,377588,L3,6,stepwise,2,469,143,3764.4,False,5,ok,False
qwenvl7b,154087,L3,4,stepwise,1,469,154,4048.4,False,3,ok,False
qwenvl7b,208363,L4,14,direct,0,440,3,202.4,False,15,ok,False
qwenvl7b,442456,L2,2,stepwise,2,469,66,1802.6,False,2,ok,True
qwenvl7b,464824,L1,1,stepwise,2,469,58,1599.8,False,1,ok,True
qwenvl7b,473869,L1,1,direct,2,440,2,175.2,False,1,ok,True
qwenvl7b,354307,L1,1,stepwise,2,469,45,1270.3,False,1,ok,True
qwenvl7b,224664,L4,8,direct,0,440,3,202.6,False,10,ok,False
qwenvl7b,253386,L2,2,stepwise,2,469,89,2392.7,False,2,ok,True
qwenvl7b,2006,L2,3,stepwise,2,469,134,3542.7,False,2,ok,False
qwenvl7b,25386,L2,3,stepwise,0,469,125,3317.0,False,2,ok,False
qwenvl7b,36539,L2,2,stepwise,0,469,103,2755.0,False,2,ok,True
qwenvl7b,139077,L1,1,stepwise,0,469,66,1806.1,False,1,ok,True
qwenvl7b,450303,L3,6,stepwise,2,469,107,2858.5,False,5,ok,False
qwenvl7b,153529,L4,8,stepwise,0,469,157,4142.9,False,5,ok,False
qwenvl7b,455555,L2,2,stepwise,0,469,86,2325.2,False,2,ok,True
qwenvl7b,268378,L4,9,direct,2,440,2,178.8,False,9,ok,True
qwenvl7b,246883,L2,2,direct,0,440,2,177.9,False,2,ok,True
qwenvl7b,18150,L2,2,stepwise,0,469,94,2530.1,False,2,ok,True
qwenvl7b,554002,L4,10,stepwise,0,469,117,3217.9,False,5,ok,False
qwenvl7b,213547,L2,2,direct,2,440,2,176.4,False,2,ok,True
qwenvl7b,554002,L4,10,stepwise,1,469,117,3124.4,False,5,ok,False
qwenvl7b,169076,L2,2,stepwise,0,469,96,2583.9,False,2,ok,True
qwenvl7b,357748,L3,4,direct,0,440,2,178.5,False,3,ok,False
qwenvl7b,201426,L2,2,stepwise,2,469,77,2095.6,False,2,ok,True
qwenvl7b,130699,L3,7,stepwise,0,469,163,4306.5,False,6,ok,False
qwenvl7b,357748,L3,4,stepwise,2,469,56,1559.8,False,0,ok,False
qwenvl7b,173799,L2,2,stepwise,0,469,114,3052.1,False,2,ok,True
qwenvl7b,201426,L2,2,stepwise,0,469,77,2100.4,False,2,ok,True
qwenvl7b,301563,L2,3,stepwise,1,469,71,1946.5,False,3,ok,True
qwenvl7b,31093,L2,3,direct,1,440,2,176.9,False,2,ok,False
qwenvl7b,361147,L4,9,direct,1,440,2,178.7,False,8,ok,False
qwenvl7b,96493,L1,1,direct,0,440,2,178.4,False,1,ok,True
qwenvl7b,117719,L1,1,stepwise,1,469,77,2105.9,False,1,ok,True
qwenvl7b,2006,L2,3,stepwise,1,469,134,3574.3,False,2,ok,False
qwenvl7b,153529,L4,8,direct,2,440,2,177.6,False,5,ok,False
qwenvl7b,126137,L4,13,stepwise,2,469,144,3839.7,False,7,ok,False
qwenvl7b,361586,L3,4,stepwise,0,469,125,3347.2,False,4,ok,True
qwenvl7b,464824,L1,1,direct,0,440,2,177.5,False,1,ok,True
qwenvl7b,89296,L2,2,stepwise,0,469,114,3064.0,False,2,ok,True
qwenvl7b,114049,L3,6,stepwise,1,469,118,3166.7,False,4,ok,False
qwenvl7b,301563,L2,3,direct,1,440,2,178.0,False,3,ok,True
qwenvl7b,323496,L3,6,direct,2,440,2,178.4,False,6,ok,True
qwenvl7b,442456,L2,2,direct,0,440,2,178.9,False,2,ok,True
qwenvl7b,566923,L4,10,direct,0,440,3,203.9,False,10,ok,True
qwenvl7b,465836,L2,3,direct,1,440,2,177.8,False,3,ok,True
qwenvl7b,2006,L2,3,direct,2,440,2,178.6,False,2,ok,False
qwenvl7b,127270,L3,5,stepwise,2,469,167,4441.8,False,5,ok,True
qwenvl7b,165681,L4,12,direct,2,440,3,204.3,False,10,ok,False
qwenvl7b,562207,L2,3,stepwise,2,469,106,2862.2,False,3,ok,True
qwenvl7b,377588,L3,6,direct,0,440,2,177.2,False,6,ok,True
qwenvl7b,417249,L3,5,stepwise,0,469,140,3745.1,False,4,ok,False
qwenvl7b,554595,L1,1,stepwise,0,469,95,2577.2,False,1,ok,True
qwenvl7b,562207,L2,3,stepwise,1,469,106,2863.9,False,3,ok,True
qwenvl7b,537270,L2,3,direct,1,440,2,177.9,False,3,ok,True
qwenvl7b,301563,L2,3,direct,0,440,2,179.0,False,3,ok,True
qwenvl7b,165681,L4,12,direct,1,440,3,205.1,False,10,ok,False
qwenvl7b,425906,L4,13,direct,0,440,3,204.9,False,15,ok,False
qwenvl7b,455555,L2,2,stepwise,1,469,86,2349.1,False,2,ok,True
qwenvl7b,117719,L1,1,stepwise,0,469,77,2112.7,False,1,ok,True
qwenvl7b,562207,L2,3,direct,2,440,2,178.5,False,3,ok,True
qwenvl7b,169076,L2,2,direct,2,440,2,178.5,False,2,ok,True
qwenvl7b,402774,L1,1,direct,1,440,2,178.6,False,1,ok,True
qwenvl7b,361586,L3,4,direct,2,440,2,179.5,False,7,ok,False
qwenvl7b,507037,L4,14,stepwise,2,469,179,4761.3,False,9,ok,False
qwenvl7b,188465,L4,14,direct,2,440,4,230.4,False,100,ok,False
qwenvl7b,465180,L3,6,direct,0,440,2,178.0,False,5,ok,False
qwenvl7b,562207,L2,3,direct,0,440,2,179.0,False,3,ok,True
qwenvl7b,18150,L2,2,direct,2,440,2,179.3,False,2,ok,True
qwenvl7b,480985,L4,8,direct,1,440,2,182.0,False,6,ok,False
qwenvl7b,528314,L4,9,direct,2,440,3,205.7,False,12,ok,False
qwenvl7b,220764,L1,1,stepwise,2,469,93,2530.7,False,1,ok,True
qwenvl7b,82715,L1,1,direct,2,440,2,178.4,False,1,ok,True
qwenvl7b,253386,L2,2,stepwise,1,469,89,2427.4,False,2,ok,True
qwenvl7b,265816,L1,1,direct,0,440,2,178.5,False,1,ok,True
qwenvl7b,309173,L1,1,direct,2,440,2,179.0,False,0,ok,False
qwenvl7b,500478,L4,14,stepwise,2,469,115,3106.5,False,16,ok,False
qwenvl7b,89648,L4,11,stepwise,1,469,187,4978.2,False,8,ok,False
qwenvl7b,415748,L1,1,stepwise,2,469,80,2199.3,False,1,ok,True
qwenvl7b,465180,L3,6,stepwise,2,469,131,3520.4,False,4,ok,False
qwenvl7b,470924,L4,14,direct,0,440,2,179.2,False,5,ok,False
qwenvl7b,170613,L2,2,stepwise,0,469,103,2794.7,False,2,ok,True
qwenvl7b,55167,L3,6,stepwise,0,469,137,3676.1,False,1,ok,False
qwenvl7b,303863,L3,7,stepwise,2,469,132,3545.0,False,0,ok,False
qwenvl7b,1761,L3,5,stepwise,2,469,36,1055.6,False,0,ok,False
qwenvl7b,102820,L1,1,direct,0,440,2,179.5,False,1,ok,True
qwenvl7b,473869,L1,1,stepwise,2,469,69,1911.8,False,1,ok,True
qwenvl7b,269121,L1,1,stepwise,0,469,83,2279.7,False,1,ok,True
qwenvl7b,527528,L2,2,direct,1,440,2,179.4,False,0,ok,False
qwenvl7b,208363,L4,14,stepwise,2,469,191,5096.3,False,16,ok,False
qwenvl7b,157756,L4,10,stepwise,1,469,134,3606.9,False,3,ok,False
qwenvl7b,159791,L4,8,direct,0,440,2,179.0,False,0,ok,False
qwenvl7b,192670,L4,9,direct,0,440,2,180.3,False,5,ok,False
qwenvl7b,416451,L2,2,direct,0,440,2,179.1,False,3,ok,False
qwenvl7b,465836,L2,3,direct,2,440,2,180.2,False,3,ok,True
qwenvl7b,471789,L4,12,stepwise,2,469,120,3238.2,False,8,ok,False
qwenvl7b,359833,L1,1,direct,1,440,2,179.5,False,1,ok,True
qwenvl7b,415748,L1,1,direct,1,440,2,179.8,False,1,ok,True
qwenvl7b,394199,L1,1,direct,1,440,2,179.5,False,1,ok,True
qwenvl7b,3255,L3,6,stepwise,1,469,71,1967.6,False,4,ok,False
qwenvl7b,220764,L1,1,stepwise,1,469,93,2533.0,False,1,ok,True
qwenvl7b,578489,L3,7,direct,1,440,2,179.6,False,6,ok,False
qwenvl7b,562207,L2,3,direct,1,440,2,179.1,False,3,ok,True
qwenvl7b,377588,L3,6,direct,1,440,2,179.1,False,6,ok,True
qwenvl7b,111086,L3,4,stepwise,1,469,94,2559.5,False,1,ok,False
qwenvl7b,330396,L3,5,stepwise,0,469,144,3868.9,False,6,ok,False
qwenvl7b,36539,L2,2,direct,0,440,2,180.2,False,2,ok,True
qwenvl7b,411754,L3,5,direct,1,440,2,179.1,False,4,ok,False
qwenvl7b,18150,L2,2,direct,1,440,2,179.7,False,2,ok,True
qwenvl7b,568195,L2,3,direct,0,440,2,179.8,False,3,ok,True
qwenvl7b,554595,L1,1,stepwise,1,469,95,2589.8,False,1,ok,True
qwenvl7b,157756,L4,10,direct,2,440,2,179.2,False,4,ok,False
qwenvl7b,157756,L4,10,stepwise,2,469,134,3611.4,False,3,ok,False
qwenvl7b,231580,L3,7,direct,2,440,2,179.5,False,7,ok,True
qwenvl7b,327701,L3,4,direct,2,440,2,180.1,False,3,ok,False
qwenvl7b,465836,L2,3,stepwise,1,469,90,2457.5,False,3,ok,True
qwenvl7b,14439,L4,14,stepwise,1,469,153,4101.3,False,5,ok,False
qwenvl7b,481390,L4,14,direct,2,440,3,205.2,False,25,ok,False
qwenvl7b,548246,L3,4,stepwise,1,469,131,3523.2,False,4,ok,True
qwenvl7b,3255,L3,6,direct,1,440,2,179.8,False,5,ok,False
qwenvl7b,535608,L3,5,direct,2,440,2,180.2,False,5,ok,True
qwenvl7b,70739,L2,3,direct,0,440,2,182.2,False,2,ok,False
qwenvl7b,82715,L1,1,stepwise,0,469,42,1211.3,False,1,ok,True
qwenvl7b,366884,L1,1,stepwise,2,469,95,2590.8,False,1,ok,True
qwenvl7b,98287,L4,14,stepwise,1,469,111,3007.1,False,3,ok,False
qwenvl7b,527528,L2,2,stepwise,2,469,80,2205.7,False,0,ok,False
qwenvl7b,554595,L1,1,stepwise,2,469,95,2589.7,False,1,ok,True
qwenvl7b,416451,L2,2,stepwise,0,469,103,2791.9,False,3,ok,False
qwenvl7b,481390,L4,14,stepwise,0,469,512,13742.2,True,32,fallback_last_number,False
qwenvl7b,117719,L1,1,direct,0,440,2,179.5,False,1,ok,True
qwenvl7b,74200,L3,6,stepwise,1,469,28,856.2,False,0,ok,False
qwenvl7b,180487,L2,2,stepwise,0,469,116,3130.6,False,2,ok,True
qwenvl7b,36539,L2,2,stepwise,2,469,103,2796.8,False,2,ok,True
qwenvl7b,357816,L3,4,direct,0,440,2,180.0,False,5,ok,False
qwenvl7b,548246,L3,4,direct,2,440,2,180.4,False,4,ok,True
qwenvl7b,411754,L3,5,stepwise,0,469,129,3484.8,False,2,ok,False
qwenvl7b,442456,L2,2,direct,1,440,2,179.0,False,2,ok,True
qwenvl7b,269121,L1,1,direct,1,440,2,179.8,False,1,ok,True
qwenvl7b,464824,L1,1,direct,1,440,2,179.6,False,1,ok,True
qwenvl7b,102820,L1,1,direct,1,440,2,180.0,False,1,ok,True
qwenvl7b,511647,L1,1,direct,1,440,2,179.9,False,1,ok,True
qwenvl7b,253386,L2,2,direct,1,440,2,180.2,False,2,ok,True
qwenvl7b,330396,L3,5,direct,1,440,2,179.2,False,5,ok,True
